"product_name","pnns_groups_1","energy_100g","fat_100g","carbohydrates_100g","sugars_100g","proteins_100g","salt_100g","nutrition.score.fr_100g","kcal","nutriscore"
"Activia Citron - Jus de Citron Vert (0% MG)","Milk and dairy products",234,0.1,8.4,7.8,4.8,0.3,0,55.7142857142857,"B"
"Activia 0% (Fraise, Citron-Citron vert, Pruneau, Pêche)","Milk and dairy products",241,0.09,9,8.7,4.8,0.19,-1,57.3809523809524,"A"
"Activia (0 % MG) - (Cerise, Pêche, Ananas, Fraise) 12 Pots","Milk and dairy products",239,0.09,9.1,8.8,4.7,0.2,-1,56.9047619047619,"A"
"Danette aux 3 Chocolats","Milk and dairy products",548,3,20,17.5,3.3,0.15,3,130.47619047619,"C"
"Taillefine Les Desserts Mousse","Sugary snacks",523,1.9,20.8,19.7,5.1,0.2,3,124.52380952381,"C"
"Danette (la Chocolaterie Choco Caramel)","Milk and dairy products",561,4,20.6,18.5,3.4,0.27,6,133.571428571429,"C"
"Danette (la Chocolaterie Choco Saveur Praliné)","Milk and dairy products",538,4.3,18.7,16.5,3.5,0.12,4,128.095238095238,"C"
"Activia saveur Vanille","Milk and dairy products",399,3.1,13.1,13.1,3.6,0.130048,2,95,"B"
"Activia (Saveur Vanille) 12 Pots","Milk and dairy products",399,3.1,13.1,13.1,3.6,0.13,2,95,"B"
"Danio minis","Milk and dairy products",383,2.4,9.9,9.4,7.3,0.381,1,91.1904761904762,"B"
"Gervais Fraise Abricot Framboise","Milk and dairy products",398,2.2,12.4,11.9,6.2,0.0899999999999999,1,94.7619047619048,"B"
"Gervais","Milk and dairy products",396,2.2,12.3,11.9,6.2,0.2286,1,94.2857142857143,"B"
"Danonino de Gervais","Milk and dairy products",394,2.1,12.3,11.9,6.3,0.08,1,93.8095238095238,"B"
"Velouté Nature","Milk and dairy products",310,3.5,6.1,6.1,4.5,0.15,1,73.8095238095238,"B"
"Yaourt Brassé Velouté","Milk and dairy products",310,3.5,6.1,6.1,4.5,0.15,1,73.8095238095238,"B"
"Velouté (Nature)","Milk and dairy products",310,3.5,6.1,6.1,4.5,0.15,1,73.8095238095238,"B"
"Activia® Fruits Cerise (4 pots) 500 g","Milk and dairy products",412,3.4,13.3,12.8,3.5,0.189992,3,98.0952380952381,"C"
"Activia Fraise","Milk and dairy products",411,3.3,13.4,13.2,3.5,0.13,3,97.8571428571428,"C"
"Activia Fruits Figues","Milk and dairy products",413,3.4,13.3,13.2,3.5,0.13,3,98.3333333333333,"C"
"Activia Fruits Pruneaux","Milk and dairy products",407,3.3,12.9,12.5,3.5,0.13,3,96.9047619047619,"C"
"Activia Abricot","Milk and dairy products",396,3.3,12.6,12.4,3.4,0.13,3,94.2857142857143,"C"
"Activia mangue","Milk and dairy products",406,3.4,13.1,13,3.3,0.13,3,96.6666666666667,"C"
"Activia Kiwi","Milk and dairy products",405,3.4,12.8,12.6,3.5,0.14,3,96.4285714285714,"C"
"Balisto mix","Milk and dairy products",710,8.6,19.7,15,3.3,0.2794,11,169.047619047619,"D"
"Activia Fibre","Milk and dairy products",419,0.7,15,11.2,6.5,0.12,-6,99.7619047619048,"A"
"Danio Mangue (0 % MG)","Milk and dairy products",335,0.2,11.6,11.3,7.9,0.1,-2,79.7619047619048,"A"
"Pêche","Milk and dairy products",502,2.8,20.9,16.1,2.4,0.09,4,119.52380952381,"C"
"Taillefine aux Fruits Abricot - Pêche","Milk and dairy products",176,0.1,6.3,5.5,3.8,0.18,-1,41.9047619047619,"A"
"Taillefine aux fruits","Milk and dairy products",176,0.1,6.2,5.4,3.8,0.16,-1,41.9047619047619,"A"
"Danio (0 % MG) Miel ","Milk and dairy products",348,0.2,12.1,11.4,7.9,0.1,-1,82.8571428571428,"A"
"Mini Danio Pêche","Milk and dairy products",419,2.4,12,11.5,7.3,0.100076,0,99.7619047619048,"B"
"Danio Minis Framboise (2,4% MG)","Milk and dairy products",399,2.4,10.7,10.3,7.3,0.1,0,95,"B"
"Danette (le Liégeois Chocolat) 4 pots","Milk and dairy products",618,5.9,19.9,17.9,3.1,0.22,7,147.142857142857,"C"
"Activia brassé les duos Myrtille-Açaï","Milk and dairy products",422,3.5,13.3,12.8,3.5,0.381,4,100.47619047619,"C"
"Le Yaourt sur lit d'agrumes","Milk and dairy products",622,8,16.4,15.9,2.7,0.15,8,148.095238095238,"C"
"Le Yaourt sur Lit de Fraises Onctueux & Savoureux","Milk and dairy products",570,7.9,13.3,12.5,2.8,0.1,7,135.714285714286,"C"
"Le Yaourt sur lit de Framboises","Milk and dairy products",572,7.8,13.5,12.8,2.8,0.15,7,136.190476190476,"C"
"Yaourt sur lit de myrtilles","Milk and dairy products",600,8.5,13.6,13.2,2.9,0.14,7,142.857142857143,"C"
"Le Yaourt au Citron","Milk and dairy products",610,9,13.3,12.9,3,0.13,7,145.238095238095,"C"
"Gervais à la vanille","Milk and dairy products",613,8.5,14.7,14.1,2.8,0.1,8,145.952380952381,"C"
"Taillefine Plus Citron (0 % MG)","Milk and dairy products",213,0.1,3.7,3.2,8.6,0.21,-5,50.7142857142857,"A"
"Taillefine Plus Cerise (0 % MG)","Milk and dairy products",259,0.1,6.9,6.3,8.2,0.19,-4,61.6666666666667,"A"
"Taillefine Plus Ananas (0 % MG)","Milk and dairy products",234,0.1,5.7,5.5,8.1,0.09,-4,55.7142857142857,"A"
"Taillefine Plus Nature (0 % MG)","Milk and dairy products",226,0.1,3.4,3.4,9.8,0.1,-5,53.8095238095238,"A"
"Taillefine Plus Saveur Vanille (0 % MG)","Milk and dairy products",243,0.1,5.5,5,8.5,0.1,-4,57.8571428571429,"A"
"Taillefine Plus Fruits Rouges (0 % MG)","Milk and dairy products",238,0.1,5.8,5.4,8.1,0.13,-4,56.6666666666667,"A"
"Danio Kiwi","Milk and dairy products",390,2.4,10.3,9.9,7.3,0.08,0,92.8571428571428,"B"
"Danio Poire","Milk and dairy products",411,2.4,11.7,11,7.3,0.12,0,97.8571428571428,"B"
"Danio Fraise (2,4 % MG)","Milk and dairy products",410,2.4,11.6,10.9,7.3,0.1,0,97.6190476190476,"B"
"Recette Crémeuse Fraise - Abricot - Pêche - Framboise","Milk and dairy products",432,3.3,15.1,14.3,3,0.15,5,102.857142857143,"C"
"Activia nature","Milk and dairy products",258,3.4,4.4,4.4,3.4,0.12,0,61.4285714285714,"B"
"Activia Nature","Milk and dairy products",258,3.4,4.4,4.4,3.4,0.12,0,61.4285714285714,"B"
"Activia (Nature) 12 Pots","Milk and dairy products",258,3.4,4.4,4.4,3.4,0.12,0,61.4285714285714,"B"
"Danette Pop Chocolat billes Magix","Milk and dairy products",693,4.6,27,24.7,3.3,0.23,8,165,"C"
"Danette Pop saveur Vanille Billes Choco Caramel Salé","Milk and dairy products",659,5.7,23,19.4,3.2,0.309999999999999,8,156.904761904762,"C"
"Danette Pop Chocolat Billes 3 Chocos","Milk and dairy products",615,4.2,22.9,19.2,3.6,0.23,6,146.428571428571,"C"
"Gervais Maxi saveur Fraise","Milk and dairy products",394,2.1,12.3,11.9,6.3,0.08,1,93.8095238095238,"B"
"Star Wars saveur Fraise","Milk and dairy products",285,0.7,12.3,12.2,2.3,0.1,1,67.8571428571429,"B"
"Danonino à boire","Milk and dairy products",322,1.5,13,13,2.9,0.1,1,76.6666666666667,"B"
"Taillefine aux fruits - Pruneau","Milk and dairy products",161,0.08,6.24,4.4,2.8,0.112,-1,38.3333333333333,"A"
"Taillefine aux fruits 0% Ananas","Milk and dairy products",178,0.1,6.5,5.8,3.7,0.14,-1,42.3809523809524,"A"
"Activia Saveur Pêche","Milk and dairy products",399,3.1,13.1,13.1,3.6,0.13,2,95,"B"
"Activia saveur vanille","Milk and dairy products",399,3.1,13.1,13.1,3.6,0.13,2,95,"B"
"Activia saveur vanille","Milk and dairy products",399,3.1,13.1,13.1,3.6,0.13,2,95,"B"
"Fromage blanc saveur vanille","Milk and dairy products",422,3.8,11.8,11.3,4.7,0.09,3,100.47619047619,"C"
"Danette le Liégeois","Milk and dairy products",656,7.5,19,17,2.9,0.16,8,156.190476190476,"C"
"Danette (le Liégeois Saveur Pistache) 4 Pots","Milk and dairy products",554,5.6,17,15.4,3.2,0.15,6,131.904761904762,"C"
"Danio Fruit de la passion 0% MG (maxi format 2 pots)","Milk and dairy products",350,0.1,12.2,11.7,8.1,0.15,-2,83.3333333333333,"A"
"Danio vanille","Milk and dairy products",406,2.5,10.6,10,7.8,0.09,0,96.6666666666667,"B"
"velouté fruix, fraise","Milk and dairy products",385,2.9,13.4,12.4,3,0.11,3,91.6666666666667,"C"
"Velouté Fruix Fraise - Framboise - Pêche - Abricot","Milk and dairy products",389,2.9,13.5,12.5,3,0.11,3,92.6190476190476,"C"
"Velouté Fruix (Pêche, Mangue, Abricot) 8 Pots","Milk and dairy products",389,2.9,13.5,12.5,3,0.11,3,92.6190476190476,"C"
"Star Wars Vanille","Milk and dairy products",400,2.9,13.8,13.4,3.4,0.13,2,95.2380952380952,"B"
"Le yaourt sur lit d'abricots","Milk and dairy products",582,8.2,13.5,13,2.8,0.1,7,138.571428571429,"C"
"Le yaourt sur lit de poires","Milk and dairy products",653,8.2,17.6,17,2.8,0.14,8,155.47619047619,"C"
"Danette Saveur Cappuccino","Milk and dairy products",452,3,17.5,14.5,2.8,0.13,4,107.619047619048,"C"
"Danette Saveur Cappuccino","Milk and dairy products",546,3,17.5,14.5,2.8,0.13,4,130,"C"
"Gervais à la vanille","Milk and dairy products",633,8.5,15.5,14.9,3.2,0.09,8,150.714285714286,"C"
"Activia Les Inédits Multifruits","Milk and dairy products",401,3.3,13,12.8,3.3,0.12,3,95.4761904761905,"C"
"Dany Chocolat","Milk and dairy products",489,2.8,18.7,17.3,3.7,0.15,3,116.428571428571,"C"
"Danette saveur Brownie","Milk and dairy products",549,3.4,20.9,18.3,3.5,0.19,5,130.714285714286,"C"
"Actimel goût Noix de Coco","Milk and dairy products",341,1.9,12.2,12,2.7,0.1,3,81.1904761904762,"C"
"Actimel Goût Myrtille","Milk and dairy products",315,1.5,11.8,11.6,2.6,0.1,1,75,"B"
"Danette Chocolat Blanc","Milk and dairy products",521,4.2,18.5,16,3,0.12,5,124.047619047619,"C"
"Danette Le Liégeois Chocolat","Milk and dairy products",656,7.5,19,17,2.9,0.16,8,156.190476190476,"C"
"Danette Le Liégeois Saveur vanille","Milk and dairy products",586,7.2,15.7,14.1,3,0.13,7,139.52380952381,"C"
"Danette Le Liégeois Café","Milk and dairy products",621,7,18.3,16.1,2.9,0.11,7,147.857142857143,"C"
"Danette Le Liégeois Caramel","Milk and dairy products",614,7,17.8,15.8,3,0.18,7,146.190476190476,"C"
"Activia Nature","Milk and dairy products",258,3.4,4.4,4.4,3.4,0.12,0,61.4285714285714,"B"
"Danone Activia Nature","Milk and dairy products",258,3.4,4.4,4.4,3.4,0.12,0,61.4285714285714,"B"
"Saveur citron","Milk and dairy products",399,3.1,13.1,13.1,3.6,0.13,2,95,"B"
"Pain d'épices Spécial Foie Gras","Sugary snacks",1422,2.3,71,43,4.6,1,17,338.571428571429,"D"
"Pain d'épices spécial foie gras à la figue","Sugary snacks",1414,2.2,71,44,4.6,1,17,336.666666666667,"D"
"Parmentier de Bœuf (À la mousseline de potiron butternut parsemée d'amandes effilées)","Composite foods",473,5.8,11,2,4.2,0.77,5,112.619047619048,"C"
"Quinoa & Poulet","Composite foods",890,13.4,17.4,1.4,5.8,0.78,12,211.904761904762,"D"
"émincés de poulet et mousseline de petit pois","Composite foods",581,8.5,9,0.8,6.7,0.95,6,138.333333333333,"C"
"Fondue de Poireaux aux Cèpes","Composite foods",520,8.3,8.7,3.6,2.2,0.6,2,123.809523809524,"B"
"Suprêmes de Pintade & Écrasé de pomme de terre & Sauce Porto et Cèpes","Composite foods",633,8.8,6.7,0.8,11,1.3,4,150.714285714286,"C"
"Cuisses de Canette & Écrasé de Panais aux deux carottes & Sauce Sauternes et Figues","Composite foods",699,9,7.3,1.2,14,1.2,5,166.428571428571,"C"
"Saumon fumé Bio, doux et équilibré","Fish Meat Eggs",828,12,0.6,0.6,22,2.9,14,197.142857142857,"D"
"Saumon fumé Bio - Doux et Equilibré (4 tranches) - 130 g","Fish Meat Eggs",828,12,0.6,0.6,22,2.90000000000001,14,197.142857142857,"D"
"Saumon fumé l'Irlande","Fish Meat Eggs",828,12,0.6,0.6,22,2.9,14,197.142857142857,"D"
"Saumon fumé Dégustation Bio","Fish Meat Eggs",828,12,0.6,0.6,22,2.9,14,197.142857142857,"D"
"Saumon fumé Bio","Fish Meat Eggs",828,12,0.6,0.6,22,2.9,14,197.142857142857,"D"
"Saumon fumés Bio","Fish Meat Eggs",828,12,0.6,0.6,22,2.8956,14,197.142857142857,"D"
"Tendre pavé de saumon fumé sésame","Fish Meat Eggs",828,12,0.6,0.6,22,2.9,14,197.142857142857,"D"
"Saumon fumé en émincés aux graines croquantes","Fish Meat Eggs",828,12,0.6,0.6,22,2.9,14,197.142857142857,"D"
"Plaisir Extra - Saumon Fumé en Émincés","Fish Meat Eggs",828,12,0.6,0.6,22,2.9,14,197.142857142857,"D"
"Saumon Fumé l'Écosse","Fish Meat Eggs",828,12,0.6,0.6,22,2.9,14,197.142857142857,"D"
"Saumon fumé Norvège","Fish Meat Eggs",828,12,0.6,0.6,22,2.8956,14,197.142857142857,"D"
"Saumon fumé Le Norvège - Doux & Délicat ","Fish Meat Eggs",828,12,0.6,0.6,22,2.89814,14,197.142857142857,"D"
"Saumon fumé sauvage du Pacifique","Fish Meat Eggs",515,2.6,0.8,0.8,24,2.9,11,122.619047619048,"D"
"Saumon sauvage","Fish Meat Eggs",518,2.6,0.8,0.8,24,2.9,11,123.333333333333,"D"
"Saumon fumé Grandes Origines","Fish Meat Eggs",828,12,0.6,0.6,22,2.9,14,197.142857142857,"D"
"Saumon fumé sauvage d'Alaska, ferme et intense","Fish Meat Eggs",533,3,0.8,0.8,24,2.9972,11,126.904761904762,"D"
"Saumon fumé de dégusation - Le sauvage d'Alaska","Fish Meat Eggs",524,3,0.3,0.3,24,3.048,11,124.761904761905,"D"
"Saumon fumé sauvage du Pacifique","Fish Meat Eggs",518,2.6,0.8,0.8,24,2.8956,11,123.333333333333,"D"
"Saumon fumé dégustation L'Ecosse","Fish Meat Eggs",828,12,0.6,0.6,22,2.9,14,197.142857142857,"D"
"Saumon fumé de dégustation - Ecosse, boisé et généreux","Fish Meat Eggs",791,11,0.6,0.6,22,3,14,188.333333333333,"D"
"Le Norvège -25% sel","Fish Meat Eggs",828,2.5,0.6,0.6,22,2,11,197.142857142857,"D"
"Saumon fumé Le Norvège (-25% de sel) ","Fish Meat Eggs",828,12,0.6,0.6,22,2,12,197.142857142857,"D"
"Pintade farcie aux cèpes et sa sauce au foie gras","Composite foods",918,14,2.5,0.6,21,0.98,5,218.571428571429,"C"
"Saumon fumé L'Écosse","Fish Meat Eggs",828,12,0.6,0.6,22,2.8956,14,197.142857142857,"D"
"Chocolat au Lait Noisettes","Sugary snacks",2321,34.5,51.6,49.8,8.2,0.16,22,552.619047619048,"E"
"Galak","Sugary snacks",2281,31.5,58.3,58.1,7.1,0.254,27,543.095238095238,"E"
"Grand Chocolat noir Intense 70%","Sugary snacks",2442,44.9,30.7,26.4,8,0.0254,17,581.428571428571,"D"
"Carré dégustation 70% intense et fondant ","Sugary snacks",2469,45.4,32.7,26.2,7.6,0.01,22,587.857142857143,"E"
"Grand Chocolat Noir Noisettes entières","Sugary snacks",2401,41.7,36.2,31.3,8.7,0.0254,18,571.666666666667,"D"
"Chocolat blanc","Sugary snacks",2284,31.6,57.8,57.2,7.3,0.3,27,543.809523809524,"E"
"Caro ","Beverages",238,1.7,7,5.2,3.5,0.13,12,56.6666666666667,"D"
"Grand Chocolat - Eclat noir - Fèves de cacao","Sugary snacks",2320,37.8,38.6,34.4,7.7,0.0254,18,552.380952380952,"D"
"P'tite Boisson Pommes Abricots","Beverages",162,0,9.2,8.7,0.2,0.0508,2,38.5714285714286,"B"
"P'tite Boisson Pommes Framboises","Beverages",160,0,9.3,8.8,0.1,0.03,12,38.0952380952381,"D"
"Eclat noir Fèves de cacao","Sugary snacks",2310,38.6,39.6,33.1,7.5,0,18,550,"D"
"Soupe Harira Marocaine aux épices","Composite foods",184,0.5,7.7,2.2,1.7,0.7,8.36059300489711,43.8095238095238,"C"
"Smarties","Sugary snacks",1968,17.4,71.3,66.6,2.8,0.1778,21,468.571428571429,"E"
"Grand Chocolat, éclat caramel pointe de sel","Sugary snacks",2188,29.8,51.7,48.5,6.7,0.254,22,520.952380952381,"E"
"Nesquik gourmand","Beverages",1588,4.6,75.1,68.9,8.1,0.5588,18,378.095238095238,"D"
"Soupe Chinoise (Nouilles, champignons noirs, épices)","Composite foods",118,0.4,4.8,0.8,0.9,0.6,8.36059300489711,28.0952380952381,"C"
"Sauce échalote","Fat and sauces",254,3.2,5.6,1.9,1.6,1.524,4,60.4761904761905,"C"
"Cappuccino","Beverages",153,0.7,6.2,4.6,0.9,0.08001,10,36.4285714285714,"C"
"Hachis Parmentier - Bolino","Composite foods",1717,10,63,27,15,3.1,19,408.809523809524,"E"
"Pâtes à la bolognaise - Bolino","Cereals and potatoes",406,0.903,17.9,2.71,3.68,0.77,1,96.6666666666667,"B"
"Nestlé - Chocapic","Cereals and potatoes",1645,4.5,75.7,28.7,8.2,0.381,7,391.666666666667,"C"
"Céréales Nesquik","Cereals and potatoes",1636,4.1,76.1,25.2,8.1,0.508,7,389.52380952381,"C"
"P'tite Céréale Cacao","Cereals and potatoes",1599,3,77.5,29.2,10,0.0254,0,380.714285714286,"B"
"Nesquik","Sugary snacks",1238,1.8,9.8,9.5,3.6,0.14,3,294.761904761905,"C"
"Le Chocolat","Sugary snacks",310,2.1,9.8,9.4,3.7,0.12,1,73.8095238095238,"B"
"Nesquik® 450 g","Beverages",1601,3,79.6,75.6,5,0.4064,17,381.190476190476,"D"
"Nesquik","Beverages",296,3,9.8,9.5,3.6,0.00014,17,70.4761904761905,"D"
"Mousline Saveur à l'Ancienne Emmental & Comté","Composite foods",1620,8.4,62.5,3.1,11.9,2.794,13,385.714285714286,"D"
"Lion","Sugary snacks",1602,3.1,81.2,78.1,4.2,0.5334,12,381.428571428571,"D"
"Ricoré au lait","Beverages",1775,16,51.2,38.1,14.5,1.651,31,422.619047619048,"E"
"Sveltesse Moulinée aux 9 légumes","Composite foods",120,0.2,5.7,0.9,0.7,0.78,8.36059300489711,28.5714285714286,"C"
"Nescafé NES","Beverages",13,0,0.1,0.1,0.2,0,2,3.09523809523809,"B"
"Café viennois","Beverages",1670,8,70,56,9,0.762,24,397.619047619048,"E"
"Ricoré","Beverages",222,0.2,1.64,1,4.16,0.14224,7,52.8571428571429,"C"
"Ricoré (Café, Chicorée, Magnésium)","Beverages",383,0.2,18.7,18.7,3.3,0.4826,17,91.1904761904762,"D"
"Nescafé spécial filtre","Beverages",8,0,0.1,0.1,0.2,0,2,1.9047619047619,"B"
"Café spécial filtre","Beverages",8,0,0.1,0.1,0.2,0,2,1.9047619047619,"B"
"Nes","Beverages",8,0,0.1,0.1,0.2,0,2,1.9047619047619,"B"
"Mousline, Saveur à l'Ancienne, Crème & Noix de Muscade","Composite foods",1508,4.2,70,2.9,6.8,2.54,8.36059300489711,359.047619047619,"C"
"Soupe de Raviolis à la Pékinoise","Composite foods",140,0.76,5.2,0.92,1.2,0.72,8.36059300489711,33.3333333333333,"C"
"Arome","Fat and sauces",434,0,10,5.1,15.5,25.4,12,103.333333333333,"D"
"Mousline","Composite foods",1470,0.9,74.3,2.9,7.1,0.127,-5,350,"A"
"Mousline","Composite foods",262,0.591,11.9,1.77,1.95,0.0462,-2,62.3809523809524,"A"
"Soupe de Poule aux Vermicelles","Composite foods",1434,4.3,61.1,4,11.5,10.668,8.36059300489711,341.428571428571,"C"
"Maggi soupe de tomate aux vermicelles","Composite foods",1410,1.9,64.9,12,12,8.89,8.36059300489711,335.714285714286,"C"
"Soupe à l'oignon Saveur à l'ancienne","Composite foods",67,0.2,3,0.6,0.6,0.65,8.36059300489711,15.952380952381,"C"
"Soupe Boeuf-Tomate aux Vermicelles","Composite foods",1421,2.8,63.3,10.6,11.9,11.176,8.36059300489711,338.333333333333,"C"
"Soupe Boeuf aux pâtes alphabet","Composite foods",60,0.2,2.4,0.4,0.5,0.7,8.36059300489711,14.2857142857143,"C"
"Saveur à l'ancienne Poule au Pot aux petits légumes","Composite foods",115,0.4,4.6,0.8,1.2,0.6,8.36059300489711,27.3809523809524,"C"
"Soupe Vietnamienne (Nouilles, germes de soja, coriandre)","Composite foods",71,0.2,2.7,0.6,0.9,0.699999999999999,8.36059300489711,16.9047619047619,"C"
"Mousline saveur à l'ancienne","Composite foods",1508,4.2,70,2.9,6.8,2.54,11,359.047619047619,"D"
"Saveur à l'Ancienne Moulinée 9 Légumes","Fruits and vegetables",158,0.4,6.8,1.9,1.2,0.79,8.36059300489711,37.6190476190476,"C"
"Nouilles Asiatiques Saveur Curry - 60 g - Maggi","Composite foods",1547,1.9,74.3,4.6,11.2,4.064,8.36059300489711,368.333333333333,"C"
"Nouilles Asiatiques Saveur Poulet - 60 g - Maggi","Composite foods",1581,3.2,74.6,5.9,10.4,10.16,8.36059300489711,376.428571428571,"C"
"Nouilles Asiatiques Saveur Boeuf - 60 g - Maggi","Composite foods",1584,3.3,74.1,3.6,10.8,4.064,8.36059300489711,377.142857142857,"C"
"Extrême Original Chocolat Pistache Pépites de Nougatine","Milk and dairy products",1199,14.4,35,25.1,3.1,0.14,16,285.47619047619,"D"
"Viandox","Fat and sauces",188,0.5,5,2.5,6,20,7,44.7619047619048,"C"
"Viandox","Fat and sauces",188,0.5,5,2.5,6,21.0058,7,44.7619047619048,"C"
"Banania 1kg","Sugary snacks",1568,2.1,79,68,5.7,0.06,10,373.333333333333,"C"
"Banania","Sugary snacks",1633,2.9,79.3,77.5,6.6,0.100076,10,388.809523809524,"C"
"Benco","Sugary snacks",1589,2.1,82,78,4.6,0.23,11,378.333333333333,"D"
"Benco","Beverages",1589,2.1,82,78,4.6,0.23,17,378.333333333333,"D"
"Banania Traditionnel","Sugary snacks",1527,2.7,74,64,6.8,0.0699999999999999,10,363.571428571429,"C"
"Soupe à l'Indienne","Composite foods",273,2.8,8.7,1.7,1.1,0.95,8.36059300489711,65,"C"
"Bouillon à la Chinoise","Composite foods",124,0.3,5.7,1.3,0.9,0.92,8.36059300489711,29.5238095238095,"C"
"Au miel ","Fat and sauces",1000,7,36,34,5,3,19,238.095238095238,"E"
"Moutarde à l'ancienne","Fat and sauces",720,10,9,6,7,5.0038,13,171.428571428571,"D"
"Maille Moutarde Fin Gourmets","Fat and sauces",1500,35,4.5,0.5,5,4.191,16,357.142857142857,"D"
"Cornichons Fins Cueillis main 560 g - Maille","Fruits and vegetables",62,0.5,1.3,0.5,1,2.3,5,14.7619047619048,"C"
"Vinaigre de Xérès d'Andalousie","Fat and sauces",142,0,0.3,0.3,0.4,0,0,33.8095238095238,"B"
"Sauce salade nature à la moutarde de Dijon légère","Fat and sauces",740,17,5.6,2.5,0.8,2.2,12,176.190476190476,"D"
"Sauce salade moutarde a l'ancienne légère","Fat and sauces",765,17,7.3,3.9,0.7,2.5,13,182.142857142857,"D"
"Cornichons Aigres-Doux au vinaigre et aux aromates","Fruits and vegetables",161,0.5,7.4,4.2,1.4,1.6,1,38.3333333333333,"B"
"Pur Soup' Velouté de Légumes du Soleil ","Fruits and vegetables",160,1.5,4.6,2.9,1,0.73,1,38.0952380952381,"B"
"Velouté de Cèpes et Bolets","Composite foods",155,1.8,4.2,0.8,0.8,0.77,4,36.9047619047619,"C"
"Velouté de légumes Liebig PurSoup'","Composite foods",176,2,5.3,2.4,0.7,0.7874,3,41.9047619047619,"C"
"Velouté de Légumes Verts","Fruits and vegetables",126,0.7,4.6,0.9,1,0.65,2,30,"B"
"Velouté de Poireaux Pommes de Terre et Pointe de Crème","Composite foods",197,2.5,4.8,0.8,1,1.905,9,46.9047619047619,"C"
"PurSoup' Velouté de Tomates","Composite foods",163,0.7,7.2,3.1,0.6,0.730000000000001,3,38.8095238095238,"C"
"Pur Soup' - Mouliné de 7 légumes variés","Fruits and vegetables",155,1.2,4.8,1.4,0.9,1.778,4,36.9047619047619,"C"
"Soupe de Poissons aux Aromates","Composite foods",140,1,3.4,0.8,2.6,0.8,2,33.3333333333333,"B"
"Velouté de Cèpes et Bolets à la Crème Fraîche","Composite foods",157,1.8,4.4,1.3,0.7,0.7493,4,37.3809523809524,"C"
"Velouté de potiron à la crème fraîche","Fruits and vegetables",147,1.7,3.8,2.4,0.8,0.71882,2,35,"B"
"Velouté de Potiron et pointe de crème Liebig","Fruits and vegetables",147,1.7,3.8,2.4,0.8,0.7366,2,35,"B"
"Velouté de légumes poêlés","Fruits and vegetables",225,2.8,5.2,2.1,1.1,0.73,1,53.5714285714286,"B"
"Pur Soup' Velouté de légumes poêlés","Fruits and vegetables",225,2.8,5.2,2.1,1.1,0.72898,0,53.5714285714286,"B"
"Pur Soup' Pommes de terre, Poireaux, Lentilles","Fruits and vegetables",167,1.4,4.6,1.3,1.4,0.7,0,39.7619047619048,"B"
"Délice de Potiron Châtaigne","Composite foods",158,1.2,5.4,2.2,0.8,0.7493,2,37.6190476190476,"B"
"Pommes de terre, poireaux, lentilles","Fruits and vegetables",167,1.4,4.6,1.3,1.4,0.70104,0,39.7619047619048,"B"
"Liebig Richesse d'Automne Potiron Châtaigne","Composite foods",151,1.2,5.4,2.2,0.9,0.7874,2,35.9523809523809,"B"
"Sauce Salade à la Provençale aux herbes de Provence","Fat and sauces",1404,34,7.5,3.7,1,2.9,17,334.285714285714,"D"
"Velouté de Légumes Poêlés","Fruits and vegetables",225,2.8,5.2,2.1,1.1,0.73,1,53.5714285714286,"B"
"Pommes de Terre, Poireaux, Lentilles (lot de 2 x 1 L) ","Fruits and vegetables",167,1.4,4.6,1.3,1.4,0.70104,1,39.7619047619048,"B"
"Potager Malin Tomates et Vermicelles","Fruits and vegetables",154,0.92,5.52,2.4,1,0.8,0,36.6666666666667,"B"
"Légumes et Vermicelles","Fruits and vegetables",142,1,4.6,1.4,1,1.9558,7,33.8095238095238,"C"
"Soupe à l'Oignon au Fromage fondu","Composite foods",129,1,3.8,1.8,1,0.88,2,30.7142857142857,"B"
"Pur Soup' Épinards Artichauts","Fruits and vegetables",190,2.4,4.5,0.5,1,0.73,3,45.2380952380952,"C"
"PurSoup' Fèves Pois Cassés","Composite foods",217,2,4.9,1.2,2.4,0.72,0,51.6666666666667,"B"
"Fondue de poireaux aux Saint-Jacques","Composite foods",242,3.32,5,1.2,1.6,0.8,3,57.6190476190476,"C"
"Fondue de poireaux aux St Jacques","Fruits and vegetables",242,3.3,5,1,1.6,0.77978,2,57.6190476190476,"B"
"Velouté de Potiron et pointe de crème (lot de 2)","Fruits and vegetables",147,1.7,3.8,2.4,0.8,0.7366,2,35,"B"
"Pur Soup' Carottes fraîches et pointe de crème","Fruits and vegetables",166,1.6,4.6,2.4,0.9,0.77978,0,39.5238095238095,"B"
"Liebig Pursoup' Velouté de Carottes fraîches et point de crème","Composite foods",167,1.6,4.6,2.4,0.9,0.7874,1,39.7619047619048,"B"
"Soupe à la Chinoise","Composite foods",94,0.5,3.4,0.5,0.7,0.9,3,22.3809523809524,"C"
"Légumes et vermicelles","Fruits and vegetables",139,1,4.6,1.4,0.9,0.76962,2,33.0952380952381,"B"
"Duo d'asperges aux eclats de morilles","Fruits and vegetables",219,3.6,4.1,0.6,0.7,0.76962,4,52.1428571428571,"C"
"Jardinière de Légumes Bio","Fruits and vegetables",112,0.5,4.7,1.1,0.7,0.6,1,26.6666666666667,"B"
