"product_name","pnns_groups_1","energy_100g","fat_100g","carbohydrates_100g","sugars_100g","proteins_100g","salt_100g","nutrition.score.fr_100g","kcal","nutriscore"
"Brins de ChocoCaramel","Sugary snacks",1960,16,75,50,5,0.28,24,466.666666666667,"E"
"Macaroni N' Cheese","Cereals and potatoes",1420,1.41,70.5,7.05,11.3,2.04,9,338.095238095238,"C"
"Boisson a base de jus de lychee","Beverages",192,0,11.3,11.3,0,0,15,45.7142857142857,"D"
"Boisson à base de jus de goyave","Beverages",171,0,10,9.9,0,0.1,13,40.7142857142857,"D"
"Shortbread Cookies","Sugary snacks",2040,23.3,67.4,18.6,4.65,1.36,17,485.714285714286,"D"
"Beef Lasagne","Composite foods",638,8.4,10.4,2.9,7.9,0.6,0,151.904761904762,"B"
"Hand Cooked Potato Chips","Salty snacks",2126,26.8,59.8,2.8,5.2,2.43,13,506.190476190476,"D"
"Hand Cooked Potato Chips Mature Cheddar & Caramelized Onion","Salty snacks",2095,26.6,57.1,4.5,6.1,1.30048,8,498.809523809524,"C"
"Pizza au thon","Composite foods",1052,13.5,21.7,3.2,9.9,1.2,9,250.47619047619,"C"
"Crème de marrons de l'Ardèche","Sugary snacks",1130,0.8,63.6,50.2,1.3,0.01,10,269.047619047619,"C"
"Ananas en morceaux au jus","Fruits and vegetables",242,0,13.1,13.1,0.3,0,-3,57.6190476190476,"A"
"Poires demi-fruits au sirop léger","Fruits and vegetables",248,0.1,14,14,0.2,0,-3,59.047619047619,"A"
"Purée Tradition Bio","Fat and sauces",126,0.1,5.6,5.6,1.19,1,-1,30,"A"
"Tomates jaunes entières pelées au jus","Fruits and vegetables",88,0.5,3,0,1.2,0.1,-6,20.952380952381,"A"
"Tomatenstücke","Fruits and vegetables",80,0.1,3,3,1.1,0.13,-6,19.047619047619,"A"
"Tranches d'Ananas au jus d'Ananas","Fruits and vegetables",242,0,13.1,13.1,0.3,0,-3,57.6190476190476,"A"
"Tomates pelées au jus - BIO","Fruits and vegetables",21,0.1,3.4,3.1,1.2,0.1,-6,5,"A"
"Pulpe de tomates bio","Fruits and vegetables",80,0.1,3,3,1.1,0.13,-6,19.047619047619,"A"
"Fusilli no.34","Cereals and potatoes",1490,1.79,73.2,1.79,12.5,0,-6,354.761904761905,"A"
"Pain Soft White Farmhouse","Cereals and potatoes",1080,4,44,3.4,9.2,0.75,-2,257.142857142857,"A"
"Gaufrettes fines","Sugary snacks",2056,21,69,36,6.1,0.52,23,489.52380952381,"E"
"Panettone","Sugary snacks",1595,16.4,50.9,21.6,7.2,0.3,18,379.761904761905,"D"
"Pandoro - Italian Speciality Cake","Sugary snacks",1618,17.5,49.6,13.3,7.5,0.3,16,385.238095238095,"D"
"Quaker Original","Cereals and potatoes",1490,7.14,67.9,0,14.3,0.68,-3,354.761904761905,"A"
"Peanut Butter Crunch","Cereals and potatoes",1700,9.26,77.8,33.3,7.41,1.88,18,404.761904761905,"D"
"Cranberry Classic","Beverages",191,0,11,11,0,0,15,45.4761904761905,"D"
"Cramberry Classic Light","Beverages",42,0,1.5,1.5,0,0.04,3,10,"C"
"Cranberry Classic","Beverages",209,0,12,12,0,0,15,49.7619047619048,"D"
"Dark chocolate almond","Sugary snacks",2333,45,28,24,9,0,21,555.47619047619,"E"
"6 Pork & Bramley Apple Sausages","Fish Meat Eggs",1023,19.2,5.5,5.6,12.4,1.18,14,243.571428571429,"D"
"Pure squeezed Florida orange juice with juicy bits","Beverages",179,0.1,9.2,9.2,0.5,0.03,3,42.6190476190476,"C"
"Chili Beef Nachos","Composite foods",1389,19.3,29.3,1.3,9.2,0.88,13,330.714285714286,"D"
"Chicken Arrabbiata","Composite foods",554,5.2,12.5,3.7,7.9,0.48,-2,131.904761904762,"A"
"Reese's Pieces","Sugary snacks",2090,22.5,62.5,52.5,12.5,0.349,22,497.619047619048,"E"
"Syrup Chocolate Flavor","Cereals and potatoes",1079,0.9,60.7,50.1,1.7,0.09,13,256.904761904762,"D"
"Beurre De Cacahuètes Crémeux","Cereals and potatoes",2481,50,21,9,25,1,19,590.714285714286,"E"
"Peanut butter cups","Sugary snacks",2299,31.2,53.5,50.2,10.2,0.762,29,547.380952380952,"E"
"Peanut Butter Cups Miniatures","Sugary snacks",2090,29.5,59.1,52.3,9.09,0.75,26,497.619047619048,"E"
"Peanut Butter Cups Miniatures","Sugary snacks",2289,20.7,58.1,51.7,3.6,0.7112,25,545,"E"
"Jus de pommes et de mangues pressé non à base de concentré","Beverages",205,0.1,11.1,11.1,0.2,0.254,6,48.8095238095238,"C"
"Beurre de cacahuètes crémeux ","Cereals and potatoes",2720,51.6,18.8,10.9,25.3,1.13,18,647.619047619048,"D"
"Skippy extra-crunchy supercrunch","Sugary snacks",2679,52.2,16.6,9.4,25.6,0.85,16,637.857142857143,"D"
"Creamy Peanut Butter","Cereals and potatoes",2480,50,18.8,9.38,21.9,1.19,18,590.47619047619,"D"
"Rice krispies","Cereals and potatoes",1670,0,88,12,8,1.42,12,397.619047619048,"D"
"Frosted Flakes","Cereals and potatoes",1600,0,88.2,35.3,5.88,1.2,12,380.952380952381,"D"
"Froot Loops","Cereals and potatoes",1590,3.45,89.7,41.4,3.45,1.18,14,378.571428571429,"D"
"Corn Flakes","Cereals and potatoes",1460,0,82.6,8.7,8.7,1.88,8,347.619047619048,"C"
"Tropical Gold Premium Pineapple Chunks in Juice","Fruits and vegetables",272,0.1,15,12,0.4,0.254,-2,64.7619047619048,"A"
"Pure Butter Shortbread Triangles","Sugary snacks",2092,30,60,20,5,0.8255,23,498.095238095238,"E"
"Pure Butter Chocolate Chip Shortbread","Sugary snacks",2168,27.6,61.3,25.7,5.2,0.7,22,516.190476190476,"E"
"Biscuits à l'avoine aux myrtilles et à la vanille","Sugary snacks",1881,17.2,60.5,18.8,7.6,0.1,1,447.857142857143,"B"
"Diet Sparkling Florida Orange","Beverages",29,0.1,0.8,0.8,0.1,0.0499999999999999,2,6.9047619047619,"B"
"Black Olive crackers","Salty snacks",2090,24.1,62.4,8,7,2.032,23,497.619047619048,"E"
"6 venison sausages 74% venison","Fish Meat Eggs",612,7,2.2,0.7,18.3,1.13,2,145.714285714286,"B"
"Honey Roasted Cashews & Peanuts","Salty snacks",2475,44.2,23.8,14.6,22.4,0.6096,16,589.285714285714,"D"
"Classic Yellow Mustard","Fat and sauces",290.6,3.9,4.3,0.9,4.2,2.794,5,69.1904761904762,"C"
"Soupe rustique aux légumes à l'italienne","Composite foods",264,2.9,7.3,1.6,2,0.762,-5,62.8571428571429,"A"
"Velouté de champignons","fruits-and-vegetables",197,2.5,5,0.5,1,0.762,4,46.9047619047619,"C"
"Lasagnes aux légumes, pâtes de riz sans gluten","Composite foods",541,5.5,15,2.4,5.5,0.762,1,128.809523809524,"B"
"4 Steaks aux légumes, au quinoa et aux noix","Composite foods",510,4.2,18,2.8,3.8,1.524,3,121.428571428571,"C"
"Spaghettis Italiano avec boulettes végétales ","Composite foods",450,1.9,18,2.7,4.7,0.2,-3,107.142857142857,"A"
"Vanilla Organic Non-Dairy","Milk and dairy products",778,13,15,13,2.2,0.26,14,185.238095238095,"D"
"Glace au chocolat végane","Milk and dairy products",791,13,16,13,2.1,0.24,13,188.333333333333,"D"
"Arbroath Lochmuir Honey Roast Salmon Slices","Fish Meat Eggs",922,12.2,3.1,2.1,24.6,1.03,4,219.52380952381,"C"
"Golden Oreo","Sugary snacks",1970,20.6,70.6,35.3,2.94,0.896,20,469.047619047619,"E"
"Oreo smile","Sugary snacks",1980,19.3,71.9,40.4,3.51,1.07,18,471.428571428571,"D"
"Yellow Curry Paste","Fat and sauces",628,0,20,10,10,14.478,8.36059300489711,149.52380952381,"C"
"Chocolate Chip Cookies","Sugary snacks",2080,24.6,61.7,35.3,5.7,0.58,21,495.238095238095,"E"
"6 scones aux raisins de Smyrne","Sugary snacks",1472,10.9,55.3,20.5,6.7,1.35,17,350.47619047619,"D"
"Skippy Smooth","Cereals and potatoes",650,51.6,18.8,10.9,25.3,1.13,11,154.761904761905,"D"
"6 Lincolnshire Sausages","Composite foods",1024,19.7,2.9,1,14.1,1.1,13,243.809523809524,"D"
"S.Pellegrino","Beverages",0,0,0,0,0,0.0107,0,0,"B"
"Riz Gluant Fermenté","Cereals and potatoes",640,0,35,28.3,3.33,0.0167,5,152.380952380952,"C"
"Weetabix original","Cereals and potatoes",1498,2,68.6,4.4,11.5,0.65,-4,356.666666666667,"A"
"Chocolat au lait aux noisettes entières","Sugary snacks",2400,40,45,42.5,10,0.191,21,571.428571428571,"E"
"Marshmallow Fluff","Sugary snacks",1382,0,81,49,1,0,14,329.047619047619,"D"
"Marshmallow Fluff Fraise","Sugary snacks",1382,0,81,49,1,0,14,329.047619047619,"D"
"FLUFF Caramel","Sugary snacks",1381,0.3,81,49,0,0.1,14,328.809523809524,"D"
"Reduced Fat Creamy Caesar Dressing","Fat and sauces",1243,28.2,9.6,5.8,1.1,1.45,12,295.952380952381,"D"
"Iced & Spiced Soft Bun","sugary-snacks",1276,3.6,61.3,36,4.9,0.33,9,303.809523809524,"C"
"Jelly Belly® jelly beans","Sugary snacks",1540,0.1,90.3,60.8,0.1,0.0254,14,366.666666666667,"D"
"Activia Noix de Coco","Milk and dairy products",406,3.4,14.2,12.6,2.8,0.145034,3,96.6666666666667,"C"
"Double Chocolate Muffin Mix","Sugary snacks",1895,16.1,69.4,46.1,5.9,0.254,21,451.190476190476,"E"
"fairtrade brazil nut cookies","Sugary snacks",2235,31.7,54,22.1,7,0.6858,18,532.142857142857,"D"
"Champignons de Paris émincés épais","fruits-and-vegetables",79,0.4,0.6,0,2.2,0.7,0,18.8095238095238,"B"
"Boisson Réfrigérée Fuitopia Fruits","Beverages",151,0,9.6,9.2,0,8,13,35.9523809523809,"D"
"beurre d'arachide croquant","Cereals and potatoes",2790,53.3,20,6.67,20,0,10,664.285714285714,"C"
"Nutella","Sugary snacks",2272,31.6,57.3,57,6,0,21,540.952380952381,"E"
"Spinach and Ricotta Cannelloni","Cereals and potatoes",432,4.3,10.2,3.3,4.8,0.6,0,102.857142857143,"B"
"Frosted Flakes","Cereals and potatoes",1490,0,89.3,35.7,7.14,1.18,16,354.761904761905,"D"
"Céréales rice krispies","Cereals and potatoes",1640,0,89.3,10.7,7.14,1.72,13,390.47619047619,"D"
"Yogourt biologique certifié,  sans gras (0%)","Milk and dairy products",287,0.114,12,12,5.71,0.116,-1,68.3333333333333,"A"
"BelVita Petit-déjeuner Avoine aux bananes et chocolat tendres","Sugary snacks",1590,12,66,20,6,0.864,9,378.571428571429,"C"
"Tomato & Mascarpone Pasta Sauce","Fat and sauces",400,7.2,4.9,4.8,2,0.95,4,95.2380952380952,"C"
"Fiorelli","Cereals and potatoes",1500,1.4,71.5,1.6,12.3,0.1,-5,357.142857142857,"A"
"Del Monte Orange Juice 1.6L","Beverages",230,0,10,8,0.5,0,12,54.7619047619048,"D"
"chicken & vegetable chow mein","Composite foods",320,1.3,8.7,1.4,6.3,0.48,-3,76.1904761904762,"A"
"Twinings fresh thé vert menthe","Beverages",17,0,0,0,0,0,1,4.04761904761905,"B"
"Smokey Cajun chicken Jambalaya","Composite foods",410,1.4,13.4,2.3,6.7,0.4,-4,97.6190476190476,"A"
"Le Gruyère","Milk and dairy products",1640,32.1,0,0,28.6,1.54,15,390.47619047619,"D"
"Monster Energy","Beverages",192,0,11.25,11.25,0,0.1905,8.36059300489711,45.7142857142857,"C"
"Smoked Salmon and Broccoli Quiche","Composite foods",890,13.2,16.1,2.1,6.9,0.48,4,211.904761904762,"C"
"English muffins original","Cereals and potatoes",1030,2.63,47.4,3.51,8.77,2.41,11,245.238095238095,"D"
"Dragées surprises de Bertie Crochue","Sugary snacks",1570,0.1,92,70.4,0.1,0.1,14,373.809523809524,"D"
"Dragées Surprises de Bertie Crochue","Sugary snacks",1523,0,91,62,0,0.12,14,362.619047619048,"D"
"Peri Peri Mayo","Fat and sauces",2720,70.5,5.4,3.3,0.9,1.1303,16,647.619047619048,"D"
"Luxury Cookies Nougatine","Sugary snacks",2152,28,59.4,34.4,5.8,0.7,24,512.380952380952,"E"
"Z'animo","Sugary snacks",2092,23.7,63.5,27.2,6.8,0.5,21,498.095238095238,"E"
"Finger","Sugary snacks",2134,24.8,63.6,39.3,6.7,0.41,21,508.095238095238,"E"
"Finger blanc","Sugary snacks",2165,27.9,59.7,31,6.1,0.6,22,515.47619047619,"E"
"Cookies Milk & Hazelnut Chunk Sensations","Sugary snacks",2228,30.7,57.3,33.8,6.5,0.8,24,530.47619047619,"E"
"Chocolat Noir Mendiant ","Sugary snacks",2380,41,38,34,9,0.01,24,566.666666666667,"E"
"Vinaigre basalmic","Fat and sauces",280,0,20,20,0,0,4,66.6666666666667,"C"
"Crème Caramel Flan","Milk and dairy products",594,3.54,24.78,24.78,4.42,0.22352,6,141.428571428571,"C"
"Lait de Coco","Beverages",882,21,3.7,2.7,2.1,0.059944,11,210,"D"
"Marks&Spencer rich tea biscuits","Sugary snacks",1910,14.5,72.1,18.7,7.4,0.730000000000001,14,454.761904761905,"D"
"Ginger snaps","Sugary snacks",1854,12.4,75.2,39.8,5.7,0.699999999999999,18,441.428571428571,"D"
